Data de referência,Índice,Valor do índice,Retorno de valor,Retorno de amortização,Retorno de resgate total antecipado,Retorno de juros,Retorno de prêmio,Retorno total,Retorno diário,Fator diário,Fator acumulado
2019-02-08,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.3333603916751052632174292,-0.0006107707383035428773847128972,0E-40,0E-40,0.001575480809399590420441284287,0E-40,0.0009647100710960475430565713898,-0.0000034398257042499559474615,0.9999965601742957500440525385,1.213333603916751052632174292
2019-02-11,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.3862045406040434304959626,-0.003971286019168558028929249667,0.0002412233676460158721135685972,0.003416625146180285674436172637,0.001677350930986337385170259131,0.00003674540711865201209879765593,0.001400658832762732914889548353,0.000435528602837277859255695,1.000435528602837277859255695,1.213862045406040434304959626
2019-02-12,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.4580265162269462086021978,-0.003378775741912239716925711778,0.0002412233676460158721135685972,0.003416625146180285674436172637,0.001677350930986337385170259131,0.00003674540711865201209879765593,0.001993169110019051226893086243,0.000591681533290532330891720,1.000591681533290532330891720,1.214580265162269462086021978
2019-02-13,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.4633698098265970608160050,-0.003334695133648082344531893868,0.0002412233676460158721135685972,0.003416625146180285674436172637,0.001677350930986337385170259131,0.00003674540711865201209879765593,0.002037249718283208599286904153,0.000043992922929115610320552,1.000043992922929115610320552,1.21463369809826597060816005
2019-02-14,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.5083082649732701153604206,-0.002963966031761122418220025093,0.0002412233676460158721135685972,0.003416625146180285674436172637,0.001677350930986337385170259131,0.00003674540711865201209879765593,0.002407978820170168525598772928,0.000369975369669329359115547,1.000369975369669329359115547,1.215083082649732701153604206
2019-02-15,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.5221523354539367261778710,-0.009681616152087492016410874018,0.002272273885920975402653868504,0.003416625146180285674436172637,0.006478160062470965521897909219,0.00003674540711865201209879765593,0.002522188349603386594675873997,0.000113935175942675744170108,1.000113935175942675744170108,1.21522152335453936726177871
2019-02-18,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.5602171439602235087630499,-0.009367592623130476887322541869,0.002272273885920975402653868504,0.003416625146180285674436172637,0.006478160062470965521897909219,0.00003674540711865201209879765593,0.002836211878560401723764206147,0.000313233495085006176852544,1.000313233495085006176852544,1.215602171439602235087630499
2019-02-19,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.5729236854709780885385390,-0.009627142000879078572510167809,0.002272273885920975402653868504,0.003416625146180285674436172637,0.006842534688595293095775136747,0.00003674540711865201209879765593,0.002941037126936127612453807736,0.000104528782600861866421069,1.000104528782600861866421069,1.21572923685470978088538539
2019-02-20,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.5857087829707466873732702,-0.009526289046938220846049074341,0.002272273885920975402653868504,0.003416625146180285674436172637,0.006842534688595293095775136747,0.00004136576547026932963866010422,0.003046510439228602656454763650,0.000105164021002289420141426,1.000105164021002289420141426,1.215857087829707466873732702
2019-02-21,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.6864442240525471168611399,-0.008695251142351786528792813408,0.002272273885920975402653868504,0.003416625146180285674436172637,0.006842534688595293095775136747,0.00004136576547026932963866010422,0.003877548343815036973711024584,0.000828513828558685026536686,1.000828513828558685026536686,1.216864442240525471168611399
2019-02-22,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.7074292101232405937004854,-0.008590079397817513441954688125,0.002272273885920975402653868504,0.003416625146180285674436172637,0.006842534688595293095775136747,0.0001093140139065271309326985553,0.004050668336785567861843188319,0.000172451304699604195581336,1.000172451304699604195581336,1.217074292101232405937004854
2019-02-25,Índice Debêntures DI (Idex) - 20% com MHP e 5mm v0.94,121.7702414575961275050761627,-0.008494110698512876162363309909,0.002656941006010537226650493077,0.003416625146180285674436172637,0.006880081526284462786077511079,0.0001093140139065271309326985553,0.004568850993868936655733565441,0.000516092138997069428561165,1.000516092138997069428561165,1.217702414575961275050761627
