Data de referência,Prazo médio de repactuação
2017-05-08,1238.746016257567643535225096
2017-05-09,1238.200375157402325937640360
2017-05-10,1238.413977655033721813975231
2017-05-11,1237.927014872438237495654143
2017-05-12,1236.901832362913016422845866
2017-05-15,1233.347330115075647944352811
2017-05-16,1233.655697132333961370315532
2017-05-17,1231.802308496108378807428196
2017-05-18,1219.721716780834264113487269
2017-05-19,1222.487765460090082731276493
2017-05-22,1218.611370091530957833261304
2017-05-23,1219.944918110496578826514365
2017-05-24,1218.897331146392002972221435
2017-05-25,1218.444922172935134623454501
2017-05-26,1218.272643441892154471294335
2017-05-29,1215.969007659669482576554765
2017-05-30,1214.867787226345764637788818
2017-05-31,1214.529291638823604563732775
2017-06-01,1212.632616656668633391218003
2017-06-02,1220.468280388026193969941963
2017-06-05,1216.793897331970271918189715
2017-06-06,1215.950237367287545248846772
2017-06-07,1215.294164721166456368665911
2017-06-08,1214.978577689681024147476868
2017-06-09,1213.493898033928619302098984
2017-06-12,1212.031973333715594978213974
2017-06-13,1210.595731927046551112833813
2017-06-14,1210.152406465659061667257869
2017-06-16,1209.185101991145469237179112
2017-06-19,1206.346899104427148244318981
2017-06-20,1204.501770119768103741068289
2017-06-21,1203.862210771974317989757992
2017-06-22,1202.484146030157904904709115
2017-06-23,1201.725484017456501897606881
2017-06-26,1199.764693772754559147908055
2017-06-27,1198.535205608544560601765070
2017-06-28,1198.298974560378975645428190
2017-06-29,1197.777020443014290498402921
2017-06-30,1196.675061186530247785429413
2017-07-03,1195.032715230135200203294477
2017-07-04,1221.432418642899562242764459
2017-07-05,1218.822319606741999043958042
2017-07-06,1216.566411863003036053470641
2017-07-07,1215.390886011890244382632948
2017-07-10,1211.688384798312084373252976
2017-07-11,1212.284005649426564618394663
2017-07-12,1211.718014232027072640549648
2017-07-13,1211.836472882606111332092376
2017-07-14,1211.925835937647345194041563
2017-07-17,1213.957518146196483943610402
2017-07-18,1213.648843574278101618041558
2017-07-19,1213.834768786347793418293008
2017-07-20,1212.284899035353653248375522
2017-07-21,1211.561262065088911050632052
2017-07-24,1208.022160680467517321553482
2017-07-25,1206.622132991910499253646351
2017-07-26,1205.544170996035187438623093
2017-07-27,1206.156793650898766846407119
2017-07-28,1206.371532473867044444679544
2017-07-31,1203.385921271371265565662421
2017-08-01,1201.944186955301755792591420
2017-08-02,1212.192797794645628444927969
2017-08-03,1210.849853153527245932997369
2017-08-04,1210.153766689415015548230370
2017-08-07,1207.389819852187091903181010
2017-08-08,1206.197485423823324038666753
2017-08-09,1205.519234164866817558177536
2017-08-10,1204.166662342486000595810827
2017-08-11,1203.365648771761888331278351
2017-08-14,1200.728721689078968479270574
2017-08-15,1199.502886796871694034936131
2017-08-16,1199.089878571395119653837673
2017-08-17,1197.224661105094494094430658
2017-08-18,1196.531199350929174496640069
2017-08-21,1193.583021432237224435680348
2017-08-22,1192.887046826767459705502091
2017-08-23,1192.494393734823307941225086
2017-08-24,1192.062289720292584459718933
2017-08-25,1191.647354422331503838389919
2017-08-28,1189.363162083495182612318601
2017-08-29,1188.750400501556039964671009
2017-08-30,1188.920724699278403088142671
2017-08-31,1187.788453158971259299190925
2017-09-01,1187.614563488454985167015242
2017-09-04,1209.907444267366282638474202
2017-09-05,1206.843486405063333386248506
2017-09-06,1206.436565693793529153755411
2017-09-08,1203.817954144083205013751146
2017-09-11,1201.129893657386380904547423
2017-09-12,1199.854904644472662863768787
2017-09-13,1198.125298282909364811208507
2017-09-14,1197.519452960465860876132375
2017-09-15,1196.152622082413528178719613
2017-09-18,1193.637874638833083598352996
2017-09-19,1194.289039665565835073601916
2017-09-20,1193.505416208826807512249172
2017-09-21,1192.183894486438846180286860
2017-09-22,1190.953239623214185634809946
2017-09-25,1191.825297875645162209663145
2017-09-26,1192.231281050361816995316983
2017-09-27,1190.858650220967947060308909
2017-09-28,1188.957488819472131294931802
2017-09-29,1188.109957650316086482626788
2017-10-02,1186.112119099055530439465436
2017-10-03,1218.036745232375343571401583
2017-10-04,1216.257403201177106228024392
2017-10-05,1214.698334667903379865518580
2017-10-06,1213.975746803446073100466984
2017-10-09,1211.204856716690532284148093
2017-10-10,1210.498627429990989552296291
2017-10-11,1209.451272945791382232264958
2017-10-13,1207.604670283967685045418565
